fda_Sponsor,fda_ApplicationNumber,fda_SubmissionDates,fda_BrandNames,fda_GenericNames,fda_Substances,ct_Sponsor,ct_NCTId,ct_LastUpdateDate,ct_Phases,ct_InterventionName,ct_OtherNames
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT01858389,2017-07-18,PHASE2,Dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT01858389,2017-07-18,PHASE2,Dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT05834348,2024-09-04,,dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT02382796,2020-07-02,PHASE2,Dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT04609319,2024-10-29,,Dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT01571388,2013-12-18,PHASE1,dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT01571388,2013-12-18,PHASE1,dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT01571388,2013-12-18,PHASE1,dacomitinib,
PFIZER,NDA211288,20180927,,['DACOMITINIB'],[],Pfizer,NCT01920061,2022-09-13,PHASE1,Dacomitinib,
ABBVIE,NDA211765,20191223,,['UBROGEPANT'],[],AbbVie,NCT05125302,2024-11-22,PHASE3,Ubrogepant,Ubrelvy
ABBVIE,NDA211765,20191223,,['UBROGEPANT'],[],AbbVie,NCT05264129,2024-10-08,PHASE4,Ubrogepant,UBRELVY
ABBVIE,NDA211765,20191223,,['UBROGEPANT'],[],AbbVie,NCT05127954,2024-07-29,PHASE3,Ubrogepant,Ubrelvy
ABBVIE,NDA211765,20191223,,['UBROGEPANT'],[],AbbVie,NCT05892757,2024-03-12,PHASE1,Ubrogepant,UBRELVY
ABBVIE,NDA211765,20191223,,['UBROGEPANT'],[],AbbVie,NCT06417775,2024-11-26,PHASE3,Ubrogepant,UBRELVY
ABBVIE,NDA211765,20191223,,['UBROGEPANT'],[],AbbVie,NCT04818515,2022-06-16,PHASE1,Ubrogepant,UBRELVY
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT01357902,2017-09-20,PHASE1,Lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00067938,2016-09-01,PHASE4,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00043914,2017-10-09,PHASE4,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00144872,2017-09-29,PHASE1,Lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00412191,2017-08-07,PHASE1,Lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00355082,2017-01-02,PHASE3,"lamotrigine, 300 mg/day",lamotrigine
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00044278,2017-01-18,PHASE2,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00086593,2016-10-07,PHASE3,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00071747,2016-09-01,PHASE3,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT01657864,2012-08-06,,Lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00224510,2017-05-30,PHASE3,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT01602510,2017-01-23,PHASE3,Lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00043901,2017-04-04,PHASE4,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT01376180,2016-11-09,,Lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00264680,2017-10-30,,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00264680,2017-10-30,,valproic acid,lamotrigine
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00579982,2016-12-16,PHASE3,Lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00449774,2017-08-08,PHASE1,Lamotrigine IR tablets,Lamotrigine
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00360126,2017-03-30,PHASE4,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00460226,2012-03-19,,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00516139,2017-01-18,PHASE3,Lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00627575,2017-08-04,PHASE1,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00043875,2016-09-15,PHASE2,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00907985,2017-07-21,PHASE1,Lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00550407,2016-11-23,PHASE3,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00410371,2017-09-12,PHASE1,Lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00056277,2017-04-07,PHASE3,lamotrigine,
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT00274677,2016-09-15,PHASE3,lamotrigine,Placebo
GLAXOSMITHKLINE LLC,NDA020241,19941227,,['LAMOTRIGINE'],[],GlaxoSmithKline,NCT02513654,2017-05-08,PHASE1,Lamotrigine,
GLAXOSMITHKLINE,NDA020358,19961004,,['BUPROPION HYDROCHLORIDE'],[],GlaxoSmithKline,NCT00135512,2019-02-01,PHASE2,bupropion hydrochloride,
GLAXOSMITHKLINE,NDA020487,19950623,,['VALACYCLOVIR HYDROCHLORIDE'],[],GlaxoSmithKline,NCT00079911,2020-11-24,PHASE4,valacyclovir hydrochloride,
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT01348490,2020-01-28,PHASE2,Ruxolitinib,INCB018424
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT03112603,2023-07-18,PHASE3,Ruxolitinib,"Jakafi, INCB018424"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT01445769,2019-03-27,PHASE2,Ruxolitinib,"INCB018424, INC424"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT04921969,2024-06-10,PHASE3,Ruxolitinib,Jakafi
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT01423604,2018-02-12,PHASE2,Ruxolitinib,
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02955940,2024-11-06,PHASE2,Ruxolitinib,"INCB018424, Jakafi®"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT00952289,2018-03-12,PHASE3,Ruxolitinib,INCB018424
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02723994,2024-11-29,PHASE2,Ruxolitinib,INCB018424
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02119676,2018-02-13,PHASE2,Ruxolitinib,"Jakafi ®, Jakavi ®"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02120417,2018-02-13,PHASE2,Ruxolitinib,"Jakafi ®, Jakavi ®"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT04455841,2024-10-04,"PHASE1, PHASE2",ruxolitinib,
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT01317875,2022-03-09,PHASE1,Ruxolitinib,INCB018424
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02718300,2024-05-01,PHASE2,Ruxolitinib,Jakafi®
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT00726232,2019-10-28,PHASE2,Ruxolitinib,INCB018424
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02711137,2022-04-28,"PHASE1, PHASE2",Ruxolitinib,
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT00638378,2018-02-12,PHASE2,Ruxolitinib,INCB018424
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02953678,2021-11-24,PHASE2,Ruxolitinib,"Jakafi, INCB018424"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02587598,2021-12-08,"PHASE1, PHASE2",Ruxolitinib,
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT04279847,2024-12-06,PHASE1,Ruxolitinib,
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT04551053,2024-08-23,PHASE3,ruxolitinib,"Jakafi, Jakavi"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT03144687,2022-06-16,PHASE2,Ruxolitinib,"INCB018424, Jakafi, Jakavi"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02117479,2019-03-26,PHASE3,Ruxolitinib,"Jakafi ®, Jakavi ®"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT06388564,2024-12-06,PHASE2,Ruxolitinib,
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02119650,2018-02-13,PHASE2,Ruxolitinib,"Jakafi ®, Jakavi ®"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT05722912,2023-02-10,,Ruxolitinib,INCB018424
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT01632904,2017-11-14,PHASE3,Ruxolitinib,
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT04530344,2023-07-19,PHASE3,ruxolitinib,INCB018424 Cream
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT00617994,2022-02-08,PHASE2,Ruxolitinib,INCB018424
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT04377620,2022-01-19,PHASE3,Ruxolitinib,"INCB018424, Oral Jak Inhibitor"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT04551066,2024-10-04,PHASE3,ruxolitinib,"Jakafi, Jakavi"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT02119663,2018-02-13,PHASE3,Ruxolitinib,"Jakafi ®, Jakavi ®"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT00509899,2018-03-12,"PHASE1, PHASE2",Ruxolitinib,"INCB018424, Jakafi(TM)"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT03147742,2022-06-07,,Ruxolitinib,INCB018424
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT05936359,2024-12-10,PHASE1,Ruxolitinib,Jakafi
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT01822756,2018-02-12,PHASE1,ruxolitinib,
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT03123588,2021-11-19,PHASE2,Ruxolitinib,"Jakafi, INCB018424"
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT04355793,2021-12-15,,Ruxolitinib,INCB018424
INCYTE CORP,NDA215309,20220718,,['RUXOLITINIB'],[],Incyte Corporation,NCT01340651,2014-03-10,PHASE2,Ruxolitinib,INCB018424
AMGEN INC,BLA761077,20180517,,['ERENUMAB-AOOE'],[],Amgen,NCT06150781,2024-10-03,,erenumab-aooe,Aimovig®
REGENERON PHARMACEUTICALS,BLA761181,20230321,,['EVINACUMAB'],[],Regeneron Pharmaceuticals,NCT04863014,2024-05-22,PHASE2,evinacumab,"REGN1500, Evkeeza™"
REGENERON PHARMACEUTICALS,BLA761181,20230321,,['EVINACUMAB'],[],Regeneron Pharmaceuticals,NCT03399786,2021-05-18,PHASE3,evinacumab,REGN1500
REGENERON PHARMACEUTICALS,BLA761181,20230321,,['EVINACUMAB'],[],Regeneron Pharmaceuticals,NCT04233918,2024-07-16,PHASE3,Evinacumab,"REGN1500, Evkeeza™"
REGENERON PHARMACEUTICALS,BLA761181,20230321,,['EVINACUMAB'],[],Regeneron Pharmaceuticals,NCT06500598,2024-07-15,,Evinacumab,"REGN1500, EVKEEZA®"
REGENERON PHARMACEUTICALS,BLA761181,20230321,,['EVINACUMAB'],[],Regeneron Pharmaceuticals,NCT03175367,2023-02-10,PHASE2,Evinacumab,REGN1500
REGENERON PHARMACEUTICALS,BLA761181,20230321,,['EVINACUMAB'],[],Regeneron Pharmaceuticals,NCT03409744,2024-04-30,PHASE3,evinacumab,"REGN1500, EVKEEZA®"
REGENERON PHARMACEUTICALS,BLA761181,20230321,,['EVINACUMAB'],[],Regeneron Pharmaceuticals,NCT03146416,2018-06-25,PHASE1,Evinacumab,REGN1500
REGENERON PHARMACEUTICALS,BLA761181,20230321,,['EVINACUMAB'],[],Regeneron Pharmaceuticals,NCT03452228,2023-02-16,PHASE2,evinacumab,REGN1500
NOVARTIS,NDA021014,20000114,,['OXCARBAZEPINE'],[],Novartis Pharmaceuticals,NCT00050934,2011-11-23,PHASE3,oxcarbazepine,
NOVARTIS,NDA021014,20000114,,['OXCARBAZEPINE'],[],Novartis Pharmaceuticals,NCT00050947,2011-11-23,PHASE3,oxcarbazepine,
ASTRAZENECA,NDA021153,20010220,,['ESOMEPRAZOLE MAGNESIUM'],[],AstraZeneca,NCT00687245,2008-06-11,PHASE1,esomeprazole magnesium,Nexium
ASTRAZENECA,NDA021153,20010220,,['ESOMEPRAZOLE MAGNESIUM'],[],AstraZeneca,NCT00637845,2011-01-21,PHASE4,Esomeprazole Magnesium,Nexium
ASTRAZENECA,NDA021153,20010220,,['ESOMEPRAZOLE MAGNESIUM'],[],AstraZeneca,NCT00637559,2011-01-25,PHASE4,Esomeprazole Magnesium,Nexium
AMGEN,NDA021688,20040308,,['CINACALCET HYDROCHLORIDE'],[],Amgen,NCT01439867,2020-06-17,PHASE2,Cinacalcet hydrochloride,"Sensipar®, Mimpara®"
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01226602,2012-02-13,PHASE1,AZD6140,Ticagrelor
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01350921,2012-03-30,PHASE1,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT03354429,2020-12-22,PHASE3,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01603082,2015-12-11,PHASE4,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01523366,2014-08-18,PHASE4,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01732822,2017-10-30,PHASE3,Ticagrelor,Brilinta/Brilique
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT02052635,2016-05-27,PHASE4,ticagrelor,Brilinta
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT03615924,2021-04-09,PHASE3,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01504906,2012-12-12,PHASE1,ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01744288,2014-04-24,PHASE1,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01864005,2015-05-15,PHASE4,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT06554821,2024-10-15,PHASE1,Ticagrelor,BRILIQUE
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01870921,2018-04-03,PHASE4,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT02227368,2017-07-19,PHASE2,Ticagrelor,Brilinta
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT00391872,2012-03-13,PHASE3,Ticagrelor,AZD6140
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01523392,2014-10-08,PHASE4,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01347580,2015-07-22,PHASE4,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01294462,2014-06-27,PHASE3,Ticagrelor,AZD6140
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT04588727,2023-12-18,PHASE1,Ticagrelor,Brilinta
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT03492931,2021-05-10,PHASE1,Ticagrelor,"AR-C124910XX is an active metabolite of ticagrelor given orally in a single dose. It will be measured, but it won't be given directly to subjects."
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01994720,2017-06-12,PHASE3,ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT02022748,2018-01-17,PHASE1,ticagrelor,Brilinta
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT02022748,2018-01-17,PHASE1,ticagrelor,Brilinta
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT02022748,2018-01-17,PHASE1,ticagrelor,Brilinta
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT01118325,2014-07-08,PHASE2,ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT02121288,2014-10-15,PHASE4,Ticagrelor,Brilinta
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT00642811,2011-10-04,PHASE2,Ticagrelor,
ASTRAZENECA,NDA022433,20110720,,['TICAGRELOR'],[],AstraZeneca,NCT02482298,2018-12-19,PHASE2,Ticagrelor,
NOVARTIS,NDA050715,19950714,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT01079143,2014-03-18,PHASE3,Neoral,Cyclosporine
NOVARTIS,NDA050715,19950714,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT01410448,2017-06-16,PHASE3,Cyclosporine,Neoral®
NOVARTIS,NDA050715,19950714,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT01266148,2015-06-10,PHASE4,Cyclosporine,
NOVARTIS,NDA050715,19950714,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT02864706,2019-10-03,PHASE4,Cyclosporine,
NOVARTIS,NDA050715,19950714,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT00154193,2020-02-11,PHASE4,cyclosporine,
NOVARTIS,NDA050715,19950714,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT02998645,2023-12-11,PHASE2,Cyclosporine,
NOVARTIS,NDA050715,19950714,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT00300274,2012-08-16,PHASE3,cyclosporine,Neoral®
NOVARTIS,NDA050716,19970305,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT01079143,2014-03-18,PHASE3,Neoral,Cyclosporine
NOVARTIS,NDA050716,19970305,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT01410448,2017-06-16,PHASE3,Cyclosporine,Neoral®
NOVARTIS,NDA050716,19970305,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT01266148,2015-06-10,PHASE4,Cyclosporine,
NOVARTIS,NDA050716,19970305,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT02864706,2019-10-03,PHASE4,Cyclosporine,
NOVARTIS,NDA050716,19970305,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT00154193,2020-02-11,PHASE4,cyclosporine,
NOVARTIS,NDA050716,19970305,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT02998645,2023-12-11,PHASE2,Cyclosporine,
NOVARTIS,NDA050716,19970305,,['CYCLOSPORINE'],[],Novartis Pharmaceuticals,NCT00300274,2012-08-16,PHASE3,cyclosporine,Neoral®
AMGEN,BLA125557,20141203,,['BLINATUMOMAB'],[],Amgen,NCT04524455,2024-04-08,PHASE1,Blinatumomab,Blincyto
