sponsor_name,count
PEACHES BIOTECH,1
EMS,1
Alnylam Pharmaceuticals,1
Janssen-Cilag B.V.,1
"AnGes USA, Inc.",1
argenx,1
"Cala Health, Inc.",1
Mitre Medical Corp.,1
Philips Healthcare,1
MeiraGTx UK II Ltd,1
"Astellas Pharma Global Development, Inc.",1
Medicontur Medical Engineering Ltd,1
Forest Laboratories,1
Global Research Institute,1
"AMAG Pharmaceuticals, Inc.",1
Aurinia Pharmaceuticals Inc.,1
Medyria AG,1
Zeltiq Aesthetics,1
"Oncotartis, Inc.",1
"Align Technology, Inc.",1
Rempex Pharmaceuticals (a wholly owned subsidiary of The Medicines Company),1
"Fahim Khorfan, MD",1
Advice Pharma Group srl,1
Response Pharmaceuticals,1
Green Cross Corporation,1
Aura Biosciences,1
Bioniz Therapeutics,1
Hyundai Pharm,1
Fractyl Health Inc.,1
Asahi Kasei Pharma Corporation,1
"Carevive Systems, Inc.",1
Inimmune Corporation,1
"Arteriocyte, Inc.",1
GW Pharmaceuticals Ltd,1
"EuBiologics Co.,Ltd",1
Medice Arzneimittel Pütter GmbH & Co KG,1
Sellas Life Sciences Group,1
Biocad,1
"Neogenix, LLC dba Ogenix",1
Pharmacyclics LLC.,1
"Shenzhen Kangtai Biological Products Co., LTD",1
"Regenexx, LLC",1
"HeartFlow, Inc.",1
Pro-Active Medical Pty Ltd,1
Aqpha Medical B.V.,1
Janssen-Cilag Ltd.,1
"Johnson & Johnson Vision Care, Inc.",1
Ultragenyx Pharmaceutical Inc,1
"Madrigal Pharmaceuticals, Inc.",1
Pascoe Pharmazeutische Praeparate GmbH,1
Fisher and Paykel Healthcare,1
"GPCR Therapeutics, Inc.",1
A. Vogel AG,1
"Clarus Therapeutics, Inc.",1
Abbott,1
NEC Bio B.V,1
Lesieur,1
Oxitone Medical Ltd.,1
"Haisco Pharmaceutical Group Co., Ltd.",1
Endo Pharmaceuticals,1
PT Harsen Laboratories,1
Dragonfly Therapeutics,1
International Stemcell Services Limited,1
Intrinsic Therapeutics,1
"Levee Medical, Inc.",1
"Rakuten Medical, Inc.",1
bioLytical Laboratories,1
"Danone Asia Pacific Holdings Pte, Ltd.",1
Newron Pharmaceuticals SPA,1
Tetra Discovery Partners,1
Nyxoah S.A.,1
Retina Implant AG,1
Equillium,1
ECRI bv,1
"Zona Health, Inc",1
Globus Medical Inc,1
"Shanghai Hansoh Biomedical Co., Ltd",1
REGENXBIO Inc.,1
Novartis Vaccines,1
Kythera Biopharmaceuticals,1
Vakzine Projekt Management GmbH,1
Baudax Bio,1
"Forma Therapeutics, Inc.",1
MAXVAX Biotechnology Limited Liability Company,1
"Codagenix, Inc",1
Cerecin,1
SoniVie Inc.,1
RJK Biopharma Ltd,1
SymBio Pharmaceuticals,1
"Shenzhen Yangli Pharmaceutical Technology Co., Ltd",1
Tigenix S.A.U.,1
Pop Medical Solutions,1
Hamad Medical Corporation,1
Valbiotis,1
"HyGIeaCare, Inc.",1
Mindchild Medical Inc.,1
"Cure&Sure Biotech Co., LTD",1
Air Liquide Healthcare Spain,1
"Catalyst Pharmaceuticals, Inc.",1
Immune System Key Ltd,1
MoonLake Immunotherapeutics AG,1
UroMems SAS,1
"Solstice Neurosciences, LLC, a subsidiary of MDD US Operations, LLC",1
Astion Pharma A/S,1
NatImmune A/S,1
Sensifree Ltd.,1
"Kinhely Bio-tech Co., Ltd.",1
Targacept Inc.,1
air up GmbH,1
"Siesta Medical, Inc.",1
InSilico Medicine Hong Kong Limited,1
"Sarepta Therapeutics, Inc.",1
Amgen Research (Munich) GmbH,1
"Oncternal Therapeutics, Inc",1
Chiesi Farmaceutici S.p.A.,1
Verona Pharma plc,1
"RMT Medical Technologies, Ltd.",1
One World Cannabis Ltd.,1
Enterin Inc.,1
Sapience Therapeutics,1
"Afferent Pharmaceuticals, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",1
Laboratórios Baldacci S.A,1
Acandis GmbH,1
Healionics Corporation,1
"Omnitura Therapeutics, Inc.",1
Grifols Therapeutics LLC,1
Celldex Therapeutics,1
MEDA Pharma GmbH & Co. KG,1
"Southwest Regional PCR, LLC",1
Prescient Surgical,1
Urotronic Inc.,1
"Neothetics, Inc",1
"CASI Pharmaceuticals, Inc.",1
TRB Chemedica International SA,1
"Yooyoung Pharmaceutical Co., Ltd.",1
Aqua Medical Services (Pvt) Ltd,1
Deep Life Medical Ltd,1
Ivoclar Vivadent AG,1
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1
Amber Therapeutics Ltd,1
"Shenzhen Hornetcorn Bio-technology Company, LTD",1
Chroma Therapeutics,1
Tracon Pharmaceuticals Inc.,1
Sandoz,1
Theraclion,1
BioTech Tools S.A.,1
Duramed Research,1
Aerie Pharmaceuticals,1
Farmoquimica S.A.,1
SuperPatch Limited LLC,1
"Hangzhou Wei Chuan Foods Co., Ltd.",1
"Editas Medicine, Inc.",1
Frontier Biotechnologies Inc.,1
Actavis Inc.,1
"Tesaro, Inc.",1
"7 Hills Pharma, LLC",1
Pharmtechnology LLC,1
Mundipharma Research Limited,1
"Suzhou Kintor Pharmaceutical Inc,",1
Graybug Vision,1
Pierre Fabre Medicament,1
"Reata, a wholly owned subsidiary of Biogen",1
Essilor International,1
BioCis Pharma Ltd,1
ConvaTec Inc.,1
"Haihe Biopharma Co., Ltd.",1
Contera Pharma,1
Cellceutix Corporation,1
"Scholar Rock, Inc.",1
Reckitt Benckiser Healthcare (UK) Limited,1
"LigaChem Biosciences, Inc.",1
Biocomposites Ltd,1
ExCellThera inc.,1
SciClone Pharmaceuticals International (Cayman) Development Limited,1
Stallergenes Greer,1
Integra LifeSciences Corporation,1
Theravance Biopharma,1
"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.",1
"Centocor, Inc.",1
Mead Johnson Nutrition,1
"Stemedica Cell Technologies, Inc.",1
Karo Pharma AB,1
Verathon,1
Cochlear,1
"Gelesis, Inc.",1
Intarcia Therapeutics,1
Andrew Kennedy,1
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",1
Phafag AG,1
Beyond Air Inc.,1
Lundbeck Italia S.p.A.,1
Angle plc,1
"Mabwell (Shanghai) Bioscience Co., Ltd.",1
"NanoString Technologies, Inc.",1
"PRG Science & Technology Co., Ltd.",1
Sirnaomics,1
"Taizhou Mabtech Pharmaceutical Co.,Ltd",1
"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",1
"Guangdong Zhongsheng Pharmaceutical Co., Ltd.",1
"Dong-A ST Co., Ltd.",1
Cordis Corporation,1
"Otsuka Pharmaceutical Development & Commercialization, Inc.",1
"Neonc Technologies, Inc.",1
Hutchison Medipharma Limited,1
Threshold Pharmaceuticals,1
"Graceway Pharmaceuticals, LLC",1
"Sorin Group USA, Inc.",1
Medolution Ltd.,1
Danone Research,1
"Beijing Continent Pharmaceutical Co, Ltd.",1
"Hanlim Pharm. Co., Ltd.",1
"Cognoa, Inc.",1
Quantum Surgical,1
"Spectrum Pharmaceuticals, Inc",1
Medacta USA,1
Levita Magnetics,1
