nct_id,brief_title,sponsor_name,phases,has_results,overall_status,primary_completion_date,study_first_post_date,url,clean_primary_completion_date,is_phase4
NCT06558279,A Study to Assess Efficacy and Safety of Efgartigimod PH20 SC in Adults with Ocular Myasthenia Gravis,argenx,['PHASE3'],False,RECRUITING,2025-12,2024-08-16,https://clinicaltrials.gov/study/NCT06558279,2025-12-01,0
NCT04071379,Comparison of Immunogenicity and Safety of DTP-HB-Hib (Bio Farma) With Pentabio® Vaccine Primed With Recombinant Hepatitis B,PT Bio Farma,['PHASE3'],False,COMPLETED,2021-04-06,2019-08-28,https://clinicaltrials.gov/study/NCT04071379,2021-04-06,0
NCT05882279,A Survey on NINLARO Risk Management Plan (RMP) Material Utilization Among Pharmacists in Japan,Takeda,Unknown,True,COMPLETED,2023-06-09,2023-05-31,https://clinicaltrials.gov/study/NCT05882279,2023-06-09,0
NCT05485779,"SAD, MAD and Food Effect Evaluation of Safety, Tolerability, and PK of AQ280 in Healthy Subjects",AQILION AB,['PHASE1'],False,COMPLETED,2023-07-10,2022-08-03,https://clinicaltrials.gov/study/NCT05485779,2023-07-10,0
NCT05263479,A Study of HS-20089 in Patients With Advanced Solid Tumors,"Shanghai Hansoh Biomedical Co., Ltd",['PHASE1'],False,RECRUITING,2024-12-31,2022-03-02,https://clinicaltrials.gov/study/NCT05263479,2024-12-31,0
NCT05904379,AK112 and AK104 With or Without Chemotherapy in Advanced Non-small Cell Lung Cancer,Akeso,"['PHASE1', 'PHASE2']",False,RECRUITING,2025-04-15,2023-06-15,https://clinicaltrials.gov/study/NCT05904379,2025-04-15,0
NCT04408079,"A Study to Evaluate the Tolerance, Efficacy and Pharmacokinetics of TQB3558 Tablets","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",['PHASE1'],False,UNKNOWN,2022-07-31,2020-05-29,https://clinicaltrials.gov/study/NCT04408079,2022-07-31,0
NCT01073579,Sabril Patient Registry,Lundbeck LLC,Unknown,False,COMPLETED,2016-07,2010-02-23,https://clinicaltrials.gov/study/NCT01073579,2016-07-01,0
NCT06602479,A Study to Investigate the Safety and Efficacy of MEDI0618 Compared to Placebo in Adult Participants With Episodic Migraine,AstraZeneca,['PHASE2'],False,RECRUITING,2026-09-07,2024-09-19,https://clinicaltrials.gov/study/NCT06602479,2026-09-07,0
NCT03521479,"A Phase 2, Muti-Center Study of Repeat Dosing of Squaric Acid Dibutyl Ester in Subjects With Herpes Labialis","Squarex, LLC",['PHASE2'],True,TERMINATED,2018-10-05,2018-05-11,https://clinicaltrials.gov/study/NCT03521479,2018-10-05,0
NCT04734379,Rho Kinase (ROCK) Inhibitor in Tauopathies - 1,Woolsey Pharmaceuticals,['PHASE2'],False,UNKNOWN,2022-11-30,2021-02-02,https://clinicaltrials.gov/study/NCT04734379,2022-11-30,0
NCT03865979,AI ENRICH - AI Detection of ICH,"Viz.ai, Inc.",['NA'],False,COMPLETED,2023-03-15,2019-03-07,https://clinicaltrials.gov/study/NCT03865979,2023-03-15,0
NCT06411379,Study to Evaluate the Efficacy and Safety of Subcutaneous Sonelokimab Compared With Placebo in Adult Participants With Moderate to Severe Hidradenitis Suppurativa,MoonLake Immunotherapeutics AG,['PHASE3'],False,RECRUITING,2025-06-17,2024-05-13,https://clinicaltrials.gov/study/NCT06411379,2025-06-17,0
NCT04365179,"Study of NEROFE, a Novel Hormone-Peptide in Adult Patients With Advanced MDS and AML",Immune System Key Ltd,['PHASE1'],False,RECRUITING,2025-06-30,2020-04-28,https://clinicaltrials.gov/study/NCT04365179,2025-06-30,0
NCT03781479,Controlled Trial to Evaluate Amifampridine Phosphate in Spinal Muscular Atrophy Type 3 Patients,"Catalyst Pharmaceuticals, Inc.",['PHASE2'],True,COMPLETED,2020-07-23,2018-12-20,https://clinicaltrials.gov/study/NCT03781479,2020-07-23,0
NCT04691479,Adherence and Quality of Life of CPAP for Obstructive Sleep Apnea,Air Liquide Healthcare Spain,['NA'],False,COMPLETED,2018-09-11,2020-12-31,https://clinicaltrials.gov/study/NCT04691479,2018-09-11,0
NCT02655679,An Ascending Multiple Dose Study of VTP-38543 in Adult Participants With Mild to Moderate Atopic Dermatitis,"Vitae Pharmaceuticals, Inc.","['PHASE1', 'PHASE2']",True,COMPLETED,2016-09-09,2016-01-14,https://clinicaltrials.gov/study/NCT02655679,2016-09-09,0
NCT03982979,MOMENTUM 3 Pivotal Cohort Extended Follow-up PAS,Abbott Medical Devices,Unknown,False,COMPLETED,2021-09-08,2019-06-12,https://clinicaltrials.gov/study/NCT03982979,2021-09-08,0
NCT02698579,Long-term Follow-up of Participants With Cerebral Adrenoleukodystrophy Who Were Treated With Lenti-D Drug Product,bluebird bio,Unknown,False,ACTIVE_NOT_RECRUITING,2038-08,2016-03-03,https://clinicaltrials.gov/study/NCT02698579,2038-08-01,0
NCT01254279,Early Access to Cabazitaxel in Patients With Metastatic Hormone Refractory Prostate Cancer Previously Treated With a Docetaxel-containing Regimen,Sanofi,['PHASE3'],False,COMPLETED,2014-12,2010-12-06,https://clinicaltrials.gov/study/NCT01254279,2014-12-01,0
NCT04853979,Awake Prone Positioning in COVID-19 Suspects With Hypoxemic Respiratory Failure,Hamad Medical Corporation,['NA'],False,COMPLETED,2021-07-12,2021-04-22,https://clinicaltrials.gov/study/NCT04853979,2021-07-12,0
NCT04925479,Study to Determine the Dose and Safety of Asciminib in Pediatric Patients With Chronic Myeloid Leukemia,Novartis Pharmaceuticals,"['PHASE1', 'PHASE2']",False,RECRUITING,2026-06-30,2021-06-14,https://clinicaltrials.gov/study/NCT04925479,2026-06-30,0
NCT03897179,INVSENSOR00032 and INVSENSOR00033 Respiration Rate Clinical Performance Study,Masimo Corporation,['NA'],True,COMPLETED,2019-02-25,2019-04-01,https://clinicaltrials.gov/study/NCT03897179,2019-02-25,0
NCT04551079,"A Study to Evaluate the Safety, Tolerability, Pharmacodynamics, and Pharmacokinetics (PK) of Oral TAK-994 in an Acute Sleep Phase Delay Paradigm in Healthy Male Participants",Takeda,['PHASE1'],False,COMPLETED,2020-12-31,2020-09-16,https://clinicaltrials.gov/study/NCT04551079,2020-12-31,0
NCT03436979,The NeuGuide™ System for Vaginal Colpopexy in the Treatment of Uterine Prolapse,Pop Medical Solutions,Unknown,False,ACTIVE_NOT_RECRUITING,2023-10-30,2018-02-19,https://clinicaltrials.gov/study/NCT03436979,2023-10-30,0
NCT01636479,Phase 1 Safety Testing of SAR405838,Sanofi,['PHASE1'],False,COMPLETED,2018-03-05,2012-07-10,https://clinicaltrials.gov/study/NCT01636479,2018-03-05,0
NCT05927779,Study of TFX06 in Women With Advanced Breast Cancer.,"Shenzhen Yangli Pharmaceutical Technology Co., Ltd","['PHASE1', 'PHASE2']",False,RECRUITING,2024-12-30,2023-07-03,https://clinicaltrials.gov/study/NCT05927779,2024-12-30,0
NCT03980379,"Pharmacokinetics, Efficacy and Safety of the 304 Injection","Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.",['PHASE1'],False,UNKNOWN,2019-06-30,2019-06-10,https://clinicaltrials.gov/study/NCT03980379,2019-06-30,0
NCT05683379,AFFINITY BEYOND: Anti-AAV8 Antibody Assessment Study of Boys With DMD,REGENXBIO Inc.,Unknown,False,RECRUITING,2024-12,2023-01-13,https://clinicaltrials.gov/study/NCT05683379,2024-12-01,0
NCT02914379,A Study of LY3337641 in Healthy Male Participants,Eli Lilly and Company,['PHASE1'],True,COMPLETED,2016-11,2016-09-26,https://clinicaltrials.gov/study/NCT02914379,2016-11-01,0
NCT03221179,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of RO7049665 in Healthy Volunteers",Hoffmann-La Roche,['PHASE1'],False,COMPLETED,2019-07-05,2017-07-18,https://clinicaltrials.gov/study/NCT03221179,2019-07-05,0
NCT02612779,A Study of Elotuzumab in Combination With Pomalidomide and Low Dose Dexamethasone and Elotuzumab in Combination With Nivolumab in Patients With Multiple Myeloma Relapsed or Refractory to Prior Treatment With Lenalidomide.,Bristol-Myers Squibb,['PHASE2'],True,COMPLETED,2019-07-29,2015-11-24,https://clinicaltrials.gov/study/NCT02612779,2019-07-29,0
NCT05372679,REDUCED 1 - Renal Denervation Using Ultrasonic Catheter EmitteD Energy Study /,SoniVie Inc.,['NA'],False,ACTIVE_NOT_RECRUITING,2025-12,2022-05-13,https://clinicaltrials.gov/study/NCT05372679,2025-12-01,0
NCT02477579,"A Prospective, Multi-Center, Pivotal Study to Evaluate the Safety and Effectiveness of the NovaCross™ Micro-catheter in Facilitating Crossing Chronic Total Occlusion (CTO) Coronary Lesions",Nitiloop Ltd.,['NA'],False,COMPLETED,2017-08-10,2015-06-23,https://clinicaltrials.gov/study/NCT02477579,2017-08-10,0
NCT06295679,A Study Assessing Repatha® in Combination With Standard of Care (SOC) Compared With SOC on Major Cardiovascular Events in Chinese Participants With Atherosclerotic Cardiovascular Disease,Amgen,Unknown,False,RECRUITING,2028-12-19,2024-03-06,https://clinicaltrials.gov/study/NCT06295679,2028-12-19,0
NCT02302079,A Study to Evaluate ASP8232 in Reducing Central Retinal Thickness in Subjects With Diabetic Macular Edema (DME),Astellas Pharma Europe B.V.,['PHASE2'],False,COMPLETED,2016-08-12,2014-11-26,https://clinicaltrials.gov/study/NCT02302079,2016-08-12,0
NCT04626479,Substudy 03A: A Study of Immune and Targeted Combination Therapies in Participants With First Line (1L) Renal Cell Carcinoma (MK-3475-03A),Merck Sharp & Dohme LLC,"['PHASE1', 'PHASE2']",False,ACTIVE_NOT_RECRUITING,2026-05-31,2020-11-12,https://clinicaltrials.gov/study/NCT04626479,2026-05-31,0
NCT06025279,Musculoskeletal System Ultrasound Examination Data Collection Study for the Development of an Artificial Intelligence Software,Smart Alfa Teknoloji San. ve Tic. A.S.,Unknown,False,COMPLETED,2023-11-29,2023-09-06,https://clinicaltrials.gov/study/NCT06025279,2023-11-29,0
NCT03901079,Trial for A Novel Facilitated Antegrade Steering Technique in Revascularization of Coronary Chronic Total Occlusions,Boston Scientific Corporation,Unknown,True,TERMINATED,2020-01-10,2019-04-03,https://clinicaltrials.gov/study/NCT03901079,2020-01-10,0
NCT01589679,"Contracture Reduction Following Bunionectomy: a Longitudinal, Controlled Trial","Dynasplint Systems, Inc.",['NA'],False,TERMINATED,2016-05,2012-05-02,https://clinicaltrials.gov/study/NCT01589679,2016-05-01,0
NCT03635879,Medical Food Formulation Pharmacokinetic (PK) Study in Medium Chain Triglycerides,Cerecin,['PHASE1'],False,WITHDRAWN,2019-04-16,2018-08-17,https://clinicaltrials.gov/study/NCT03635879,2019-04-16,0
NCT05542979,"A Study to Evaluate the Safety, Tolerability of HH-003 Injection in Participants With Chronic Hepatitis B Virus Infection",Huahui Health,['PHASE1'],False,COMPLETED,2022-03-15,2022-09-16,https://clinicaltrials.gov/study/NCT05542979,2022-03-15,0
NCT02195479,A Study of Combination of Daratumumab and Velcade (Bortezomib) Melphalan-Prednisone (DVMP) Compared to Velcade Melphalan-Prednisone (VMP) in Participants With Previously Untreated Multiple Myeloma,"Janssen Research & Development, LLC",['PHASE3'],True,COMPLETED,2017-11-21,2014-07-21,https://clinicaltrials.gov/study/NCT02195479,2017-11-21,0
NCT05223179,Intramuscular CodaVax-H1N1 in Healthy Adults,"Codagenix, Inc",['PHASE1'],False,COMPLETED,2024-02-09,2022-02-03,https://clinicaltrials.gov/study/NCT05223179,2024-02-09,0
NCT06447779,"Efficacy, Safety and Immunogenicity Study of Recombinant Zoster Vaccine(CHO Cell) in Adults Aged 40 Years and Older",MAXVAX Biotechnology Limited Liability Company,['PHASE3'],False,ACTIVE_NOT_RECRUITING,2025-09,2024-06-07,https://clinicaltrials.gov/study/NCT06447779,2025-09-01,0
NCT03326479,POA Retrospective Repository,"Caris Science, Inc.",Unknown,False,UNKNOWN,2023-01-01,2017-10-31,https://clinicaltrials.gov/study/NCT03326479,2023-01-01,0
NCT02543879,Study of a Novel BET Inhibitor FT-1101 in Patients With Relapsed or Refractory Hematologic Malignancies,"Forma Therapeutics, Inc.",['PHASE1'],False,COMPLETED,2019-03,2015-09-07,https://clinicaltrials.gov/study/NCT02543879,2019-03-01,0
NCT04604379,A Study to Review Treatment Outcomes From Treatment With Dysport® Injections in Adults for Upper and/or Lower Limb Focal Spasticity,Ipsen,Unknown,False,COMPLETED,2021-05-28,2020-10-27,https://clinicaltrials.gov/study/NCT04604379,2021-05-28,0
NCT04097379,"Safety, Tolerability and Preliminary Efficacy of Multiple Intra-articular Injections of LRX712 in Patients With Knee OA",Novartis Pharmaceuticals,['PHASE2'],False,ACTIVE_NOT_RECRUITING,2024-08-08,2019-09-20,https://clinicaltrials.gov/study/NCT04097379,2024-08-08,0
NCT03355079,Efficacy Study of Long-term Parenteral Nutrition With SmofKabiven® E in Lung Cancer Patients Under Anticancer Therapy,Fresenius Kabi,['PHASE4'],False,TERMINATED,2019-04-05,2017-11-28,https://clinicaltrials.gov/study/NCT03355079,2019-04-05,1
NCT02387879,"A Non-interventional,Observational Post Authorization Study of Patients With Multiple Myeloma Treated With Lenalidomide TR",Celgene,Unknown,False,UNKNOWN,2021-12-31,2015-03-13,https://clinicaltrials.gov/study/NCT02387879,2021-12-31,0
NCT04435379,Study to Assess VPM1002 in Reducing Hospital Admissions and/or Severe Respiratory Infectious Diseases in Elderly in COVID-19 Pandemic,Vakzine Projekt Management GmbH,['PHASE3'],False,COMPLETED,2021-10-12,2020-06-17,https://clinicaltrials.gov/study/NCT04435379,2021-10-12,0
NCT05667779,"A Study Evaluating Safety, Tolerability, and Pharmacokinetics of QRL-101 in Healthy Participants",QurAlis Corporation,['PHASE1'],False,COMPLETED,2023-12-27,2022-12-29,https://clinicaltrials.gov/study/NCT05667779,2023-12-27,0
NCT02963779,A Study of LY2775240 in Healthy Participants,Eli Lilly and Company,['PHASE1'],False,COMPLETED,2017-10-05,2016-11-15,https://clinicaltrials.gov/study/NCT02963779,2017-10-05,0
NCT03920579,A Clinical Trial to Investigate the Pharmacokinetics and Safety/Tolerability of CKD-386 in Healthy Male Volunteers,Chong Kun Dang Pharmaceutical,['PHASE1'],False,UNKNOWN,2019-05,2019-04-19,https://clinicaltrials.gov/study/NCT03920579,2019-05-01,0
NCT05481879,"Safety, Tolerability, Pharmacodynamic, Efficacy, and Pharmacokinetic Study of DYNE-101 in Participants With Myotonic Dystrophy Type 1",Dyne Therapeutics,"['PHASE1', 'PHASE2']",False,RECRUITING,2026-07,2022-08-01,https://clinicaltrials.gov/study/NCT05481879,2026-07-01,0
NCT03130179,A Bioequivalence Study Between Two Nicotine Replacement Therapies in Adult Healthy Smokers Motivated to Quit.,McNeil AB,['PHASE1'],False,COMPLETED,2017-06-19,2017-04-26,https://clinicaltrials.gov/study/NCT03130179,2017-06-19,0
NCT04587479,A First-in-Human Study of JAB-8263 in Adult Patients With Advanced Solid Tumors,"Jacobio Pharmaceuticals Co., Ltd.",['PHASE1'],False,UNKNOWN,2022-04-30,2020-10-14,https://clinicaltrials.gov/study/NCT04587479,2022-04-30,0
NCT00658879,Long Term Use of Somavert (Pegvisomant) For A Regulatory Post Marketing Commitment Plan,Pfizer,Unknown,True,COMPLETED,2016-11-09,2008-04-15,https://clinicaltrials.gov/study/NCT00658879,2016-11-09,0
NCT04190979,Clinical Application of the Medyria TrackCath System in Endovascular Repair of Abdominal Aortic Aneurysms (AAA),Medyria AG,['NA'],False,COMPLETED,2019-02-25,2019-12-09,https://clinicaltrials.gov/study/NCT04190979,2019-02-25,0
NCT03748979,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of TAK-925 in Healthy Volunteers and Participants With Narcolepsy",Takeda,['PHASE1'],True,COMPLETED,2019-10-24,2018-11-21,https://clinicaltrials.gov/study/NCT03748979,2019-10-24,0
NCT05853679,Regular Antibacterial Photodynamic Therapy on Oral Hygiene in Elderly Residents,Koite Health Oy,['NA'],False,COMPLETED,2023-04-18,2023-05-11,https://clinicaltrials.gov/study/NCT05853679,2023-04-18,0
NCT04865679,Tolerability and Feasibility Pilot Clinical Study of a Large-Diameter Nerve Cap for Protecting and Preserving Terminated Nerve Ends,Axogen Corporation,['NA'],False,RECRUITING,2026-12,2021-04-29,https://clinicaltrials.gov/study/NCT04865679,2026-12-01,0
NCT04159779,A Study of Clinical Outcomes in Chronic Lymphocytic Leukemia (CLL) Patients Treated With Venetoclax in Greece,AbbVie,Unknown,False,ACTIVE_NOT_RECRUITING,2026-06-30,2019-11-12,https://clinicaltrials.gov/study/NCT04159779,2026-06-30,0
NCT02493179,Efficacy Evaluation of the (Serodase 5 mg Tablet) in the Treatment of Inflammation After Third Molar Surgery,Hayat Pharmaceutical Co. PLC,['PHASE4'],False,UNKNOWN,2016-01,2015-07-09,https://clinicaltrials.gov/study/NCT02493179,2016-01-01,1
NCT04812379,Specified Drug-use Survey on Abilify Prolonged Release Aqueous Suspension for IM Injection (Prevention of Relapse of Mood Episodes in BP),"Otsuka Pharmaceutical Co., Ltd.",Unknown,False,ACTIVE_NOT_RECRUITING,2023-09-13,2021-03-23,https://clinicaltrials.gov/study/NCT04812379,2023-09-13,0
NCT06469879,A Clinical Study of TQB2450 Combined With Anlotinib in Limited-Stage Small Cell Lung Cancer Patients,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",['PHASE3'],False,NOT_YET_RECRUITING,2026-09,2024-06-24,https://clinicaltrials.gov/study/NCT06469879,2026-09-01,0
NCT05823779,A 48 Week Observational Study of the Frequency of Symptomatic Herpes Virus I and II in HIV Infected Subjects,Global Research Institute,Unknown,False,RECRUITING,2024-12-31,2023-04-21,https://clinicaltrials.gov/study/NCT05823779,2024-12-31,0
NCT06642779,Comparative Analysis of the Visual Performance and Patient Satisfaction After Cataract Surgery With Implantation of a Medicontur Monofocal (877PAY) or a Medicontur Extended Depth of Focus (877PEY) IOL,Medicontur Medical Engineering Ltd,Unknown,False,COMPLETED,2023-11-21,2024-10-15,https://clinicaltrials.gov/study/NCT06642779,2023-11-21,0
NCT02946879,Long-Term Follow-Up Gene Therapy Study for Leber Congenital Amaurosis OPTIRPE65 (Retinal Dystrophy Associated With Defects in RPE65),MeiraGTx UK II Ltd,Unknown,False,COMPLETED,2023-07,2016-10-27,https://clinicaltrials.gov/study/NCT02946879,2023-07-01,0
NCT05463679,"Investigate Efficacy, Safety, and Pharmacokinetics of Enzastaurin for the Prevention of Arterial Events in Patients With Vascular Ehlers-Danlos Syndrome.","Aytu BioPharma, Inc.",['PHASE3'],False,SUSPENDED,2025-06,2022-07-19,https://clinicaltrials.gov/study/NCT05463679,2025-06-01,0
NCT05216679,Novel Stretching Device Versus Night Splints,SAE Orthopedics,['NA'],False,UNKNOWN,2022-09-01,2022-01-31,https://clinicaltrials.gov/study/NCT05216679,2022-09-01,0
NCT02771379,Post Authorisation Safety Study With Raxone in LHON Patients,Santhera Pharmaceuticals,Unknown,False,COMPLETED,2021-04-16,2016-05-13,https://clinicaltrials.gov/study/NCT02771379,2021-04-16,0
NCT05012579,Transcutaneous Afferent Patterned Stimulation (TAPS) for Reduction of Parkinson's Disease (PD) Related Action Tremor,"Cala Health, Inc.",['NA'],True,COMPLETED,2021-03-12,2021-08-19,https://clinicaltrials.gov/study/NCT05012579,2021-03-12,0
